#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
103,807116,La Liga,Mallorca,Antonio Raíllo,Defender,6.95,0.0,0.02,0.04,0.53,0.04,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.71,5.31,1.51,0.13,0.0,0.04,0.13,0.0,0.13,0.04,0.04,0.0,0.31,49.85,44.0,5.84,88.28,30.19,13.81,3.76,0.04,25.0,2.35,48.18,23,23,2033,0.18,0.0,1.02,0.66,6.55,0.13,5.05,63.33,1.73,60.94,3.32,64.66
104,44864,La Liga,Girona FC,Daley Blind,Defender,6.95,0.0,0.01,0.0,0.17,0.03,0.03,0.0,0.41,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.34,4.34,0.69,0.55,0.03,0.1,0.1,0.0,0.17,0.03,0.0,0.0,0.38,72.66,64.93,7.72,89.37,40.83,24.1,10.52,0.1,25.0,4.48,51.38,31,30,2610,0.03,0.0,0.66,0.69,9.38,0.31,4.14,58.82,3.0,64.93,1.14,47.14
105,1156645,La Liga,Real Madrid,Raúl Asencio,Defender,6.95,0.11,0.07,0.11,0.78,0.22,0.45,14.29,0.06,50.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.5,3.01,0.67,0.39,0.0,0.11,0.0,0.0,0.39,0.06,0.0,0.0,0.28,60.82,57.2,3.62,94.05,34.47,22.72,6.24,0.0,0.0,1.78,53.33,22,17,1616,0.22,0.0,0.89,1.06,4.57,0.17,3.23,58.0,2.06,58.73,1.17,56.76
106,1084399,La Liga,Deportivo Alavés,Carlos Vicente,Midfielder,6.95,0.36,0.26,0.07,0.86,0.43,0.29,41.67,0.79,29.73,0.36,0.0,0.0,0.0,0.36,0.0,0.72,0.07,0.21,0.21,100.0,0.0,0.0,0.0,1.93,0.5,1.0,0.14,1.43,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.07,1.93,33.82,27.09,6.74,80.08,11.04,16.05,8.67,2.08,22.66,0.5,43.75,21,11,1256,0.07,0.0,0.86,3.01,18.7,0.43,6.52,54.49,5.73,55.56,0.79,47.83
108,560756,La Liga,Real Oviedo,Dani Calvo,Defender,6.95,0.0,0.01,0.0,0.12,0.0,0.12,0.0,0.06,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.59,7.84,1.3,0.12,0.0,0.0,0.06,0.0,0.29,0.06,0.0,0.0,0.12,45.15,40.96,4.18,90.73,33.3,7.66,1.83,0.0,0.0,1.71,43.94,19,16,1527,0.18,0.0,0.65,0.29,4.66,0.06,4.3,66.97,1.83,68.89,2.48,65.63
109,1398526,La Liga,Celta Vigo,Miguel Román,Midfielder,6.95,0.07,0.06,0.07,0.55,0.07,0.27,12.5,0.21,25.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.82,1.58,0.48,1.1,0.0,0.0,0.0,0.0,0.34,0.27,0.0,0.0,1.17,51.39,45.07,6.32,87.7,19.79,25.28,9.34,0.55,38.1,2.89,53.16,19,14,1310,0.21,0.0,1.37,0.76,8.86,0.14,3.5,47.22,2.82,47.13,0.69,47.62
110,369004,La Liga,Deportivo Alavés,Antonio Sivera,Goalkeeper,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.38,0.0,0.03,0.03,0.05,0.03,0.03,0.14,0.0,0.0,0.0,0.0,26.92,13.38,13.54,49.7,5.81,7.57,2.51,0.0,0.0,8.73,39.39,37,37,3330,0.08,0.0,0.03,0.03,13.7,0.0,0.41,83.33,0.08,60.0,0.32,92.31
111,1083832,La Liga,Levante UD,Kervin Arriaga,Midfielder,6.94,0.18,0.06,0.0,0.96,0.36,0.36,18.75,0.48,42.11,0.12,0.06,0.06,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.34,0.84,3.6,0.78,0.6,0.06,0.06,0.0,0.0,0.18,0.12,0.18,0.0,0.42,41.49,34.52,6.96,83.21,18.91,15.61,6.3,0.18,60.0,1.62,51.92,26,15,1499,0.3,0.06,1.26,1.26,9.79,1.08,6.78,56.5,4.02,52.76,2.76,63.01
112,547838,La Liga,Real Madrid,Dani Ceballos,Midfielder,6.94,0.0,0.01,0.0,0.56,0.0,0.56,0.0,0.56,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,1.31,0.93,0.75,1.49,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,81.78,75.81,5.98,92.69,24.83,50.98,25.39,0.0,0.0,2.8,88.24,15,4,482,0.19,0.0,1.12,2.8,9.52,0.37,6.91,56.06,6.72,58.06,0.19,25.0
113,965031,La Liga,Rayo Vallecano,Andrei Rațiu,Defender,6.94,0.0,0.07,0.1,1.0,0.29,0.55,0.0,1.99,53.91,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.22,2.54,0.22,0.67,0.0,0.0,0.03,0.0,0.35,0.32,0.13,0.0,1.38,42.3,34.79,7.52,82.23,15.84,18.95,10.79,0.8,24.04,1.22,41.76,34,31,2802,0.29,0.0,0.71,0.67,16.51,1.45,5.56,49.71,4.85,52.07,0.71,37.93
